Date,State,TotalSamples,Positive
26-05-2021,Assam,10503538,
27-05-2021,Assam,10622979,
28-05-2021,Assam,10745956,
29-05-2021,Assam,10862518,
30-05-2021,Assam,10934116,
31-05-2021,Assam,11045702,
01-06-2021,Assam,11161215,
02-06-2021,Assam,11264137,
03-06-2021,Assam,11371212,
04-06-2021,Assam,11494805,
05-06-2021,Assam,11610773,
06-06-2021,Assam,11684421,
07-06-2021,Assam,11808737,
08-06-2021,Assam,11941949,
09-06-2021,Assam,12057755,
10-06-2021,Assam,12180068,
11-06-2021,Assam,12349596,
12-06-2021,Assam,12511492,
13-06-2021,Assam,12611947,
14-06-2021,Assam,12757993,
15-06-2021,Assam,12890922,
16-06-2021,Assam,13020975,
17-06-2021,Assam,13175239,
18-06-2021,Assam,13347159,
19-06-2021,Assam,13508579,
20-06-2021,Assam,13586629,
21-06-2021,Assam,13757485,
22-06-2021,Assam,13910205,
23-06-2021,Assam,14076432,
24-06-2021,Assam,14200451,
25-06-2021,Assam,14339556,
26-06-2021,Assam,14467443,
27-06-2021,Assam,14522574,
28-06-2021,Assam,14656117,
29-06-2021,Assam,14757339,
30-06-2021,Assam,14848791,
01-07-2021,Assam,14986456,
02-07-2021,Assam,15140437,
03-07-2021,Assam,15274522,
04-07-2021,Assam,15328370,
05-07-2021,Assam,15444912,
06-07-2021,Assam,15545174,
05-04-2020,Bihar,3037,32
08-04-2020,Bihar,4596,38
09-04-2020,Bihar,4991,43
10-04-2020,Bihar,5457,60
11-04-2020,Bihar,6250,61
12-04-2020,Bihar,6703,64
13-04-2020,Bihar,7263,65
14-04-2020,Bihar,7727,62
15-04-2020,Bihar,8263,66
16-04-2020,Bihar,8846,72
17-04-2020,Bihar,9486,83
18-04-2020,Bihar,10130,85
19-04-2020,Bihar,10745,92
20-04-2020,Bihar,11319,96
21-04-2020,Bihar,11999,115
22-04-2020,Bihar,12978,136
23-04-2020,Bihar,13785,148
24-04-2020,Bihar,14924,176
25-04-2020,Bihar,15885,238
26-04-2020,Bihar,17041,255
27-04-2020,Bihar,18179,328
28-04-2020,Bihar,19790,346
29-04-2020,Bihar,21180,383
30-04-2020,Bihar,22672,409
01-05-2020,Bihar,24118,466
02-05-2020,Bihar,25724,476
03-05-2020,Bihar,26951,485
04-05-2020,Bihar,28345,525
05-05-2020,Bihar,28791,529
06-05-2020,Bihar,29328,539
07-05-2020,Bihar,29841,547
08-05-2020,Bihar,30320,564
09-05-2020,Bihar,31552,585
10-05-2020,Bihar,32670,653
11-05-2020,Bihar,34662,714
12-05-2020,Bihar,37430,796
13-05-2020,Bihar,39149,909
14-05-2020,Bihar,40782,970
15-05-2020,Bihar,42645,1010
16-05-2020,Bihar,44340,1083
17-05-2020,Bihar,45729,1193
18-05-2020,Bihar,46996,1391
19-05-2020,Bihar,50563,1495
20-05-2020,Bihar,53361,1607
21-05-2020,Bihar,55692,1881
22-05-2020,Bihar,58481,2098
23-05-2020,Bihar,61220,2344
24-05-2020,Bihar,63741,2507
27-05-2020,Bihar,68262,3010
28-05-2020,Bihar,70275,3106
29-05-2020,Bihar,72256,3276
30-05-2020,Bihar,73929,3511
31-05-2020,Bihar,75737,3692
01-06-2020,Bihar,78090,3872
02-06-2020,Bihar,81413,4049
03-06-2020,Bihar,84729,4273
04-06-2020,Bihar,88313,4420
05-06-2020,Bihar,91903,4551
06-06-2020,Bihar,95473,4745
07-06-2020,Bihar,99108,4972
08-06-2020,Bihar,102318,5176
09-06-2020,Bihar,105588,5364
10-06-2020,Bihar,109483,5583
11-06-2020,Bihar,113225,5807
12-06-2020,Bihar,116671,6043
13-06-2020,Bihar,120086,6183
14-06-2020,Bihar,123629,6355
15-06-2020,Bihar,127126,6581
16-06-2020,Bihar,130783,6736
17-06-2020,Bihar,134402,6889
18-06-2020,Bihar,139584,6993
19-06-2020,Bihar,145562,7178
20-06-2020,Bihar,151148,7380
21-06-2020,Bihar,156926,7602
22-06-2020,Bihar,163476,7808
23-06-2020,Bihar,169401,7974
24-06-2020,Bihar,175103,8180
25-06-2020,Bihar,181737,8381
26-06-2020,Bihar,189643,8611
27-06-2020,Bihar,198385,8859
28-06-2020,Bihar,205832,9117
29-06-2020,Bihar,212659,9506
30-06-2020,Bihar,220890,9744
01-07-2020,Bihar,228689,10075
02-07-2020,Bihar,235980,10392
03-07-2020,Bihar,243167,10911
04-07-2020,Bihar,251097,11457
05-07-2020,Bihar,257896,11860
06-07-2020,Bihar,264109,12140
07-07-2020,Bihar,269277,12525
08-07-2020,Bihar,275554,13274
09-07-2020,Bihar,284059,13978
10-07-2020,Bihar,291654,14330
11-07-2020,Bihar,300762,15039
12-07-2020,Bihar,310013,16305
13-07-2020,Bihar,319142,17421
14-07-2020,Bihar,329160,18853
15-07-2020,Bihar,337212,20173
16-07-2020,Bihar,347457,21558
17-07-2020,Bihar,357730,23300
18-07-2020,Bihar,368232,24967
19-07-2020,Bihar,378508,26379
20-07-2020,Bihar,388626,27455
21-07-2020,Bihar,398929,28564
22-07-2020,Bihar,409088,30066
23-07-2020,Bihar,419208,31691
24-07-2020,Bihar,429664,33511
25-07-2020,Bihar,442125,36314
26-07-2020,Bihar,456324,38919
27-07-2020,Bihar,470560,41111
28-07-2020,Bihar,486835,43591
29-07-2020,Bihar,504629,45919
30-07-2020,Bihar,525430,48001
31-07-2020,Bihar,548172,50987
01-08-2020,Bihar,576796,54508
02-08-2020,Bihar,612415,57270
03-08-2020,Bihar,648939,59567
04-08-2020,Bihar,687154,62301
05-08-2020,Bihar,739078,64732
06-08-2020,Bihar,799332,68148
07-08-2020,Bihar,870852,71794
08-08-2020,Bihar,946278,75786
09-08-2020,Bihar,1021906,79720
10-08-2020,Bihar,1097252,82741
11-08-2020,Bihar,1180566,86812
12-08-2020,Bihar,1272980,90553
13-08-2020,Bihar,1377432,
14-08-2020,Bihar,1498752,
15-08-2020,Bihar,1612250,
16-08-2020,Bihar,1679462,
17-08-2020,Bihar,1787189,
18-08-2020,Bihar,1899970,
19-08-2020,Bihar,2008149,
20-08-2020,Bihar,2116094,
21-08-2020,Bihar,2228516,
22-08-2020,Bihar,2331461,
23-08-2020,Bihar,2432497,
24-08-2020,Bihar,2494712,
25-08-2020,Bihar,2570097,
26-08-2020,Bihar,2672687,
27-08-2020,Bihar,2777160,
28-08-2020,Bihar,2882926,
29-08-2020,Bihar,2989407,
30-08-2020,Bihar,3097137,
31-08-2020,Bihar,3187161,
01-09-2020,Bihar,3302720,
02-09-2020,Bihar,3430124,
03-09-2020,Bihar,3571055,
04-09-2020,Bihar,3721250,
05-09-2020,Bihar,3871733,
06-09-2020,Bihar,4022766,
07-09-2020,Bihar,4175922,
08-09-2020,Bihar,4328593,
09-09-2020,Bihar,4450714,
10-09-2020,Bihar,4562913,
11-09-2020,Bihar,4667987,
12-09-2020,Bihar,4773917,
13-09-2020,Bihar,4884417,
14-09-2020,Bihar,4986747,
15-09-2020,Bihar,5094239,
16-09-2020,Bihar,5202209,
17-09-2020,Bihar,5307337,
18-09-2020,Bihar,5399493,
19-09-2020,Bihar,5523825,
20-09-2020,Bihar,5700336,
21-09-2020,Bihar,5873939,
22-09-2020,Bihar,6068027,
23-09-2020,Bihar,6243612,
24-09-2020,Bihar,6414658,
25-09-2020,Bihar,6579427,
26-09-2020,Bihar,6730100,
27-09-2020,Bihar,6869768,
28-09-2020,Bihar,6990232,
29-09-2020,Bihar,7134767,
30-09-2020,Bihar,7266150,
01-10-2020,Bihar,7386521,
02-10-2020,Bihar,7506649,
03-10-2020,Bihar,7593645,
04-10-2020,Bihar,7701839,
05-10-2020,Bihar,7789608,
06-10-2020,Bihar,7893739,
07-10-2020,Bihar,7995594,
08-10-2020,Bihar,8100131,
09-10-2020,Bihar,8199627,
10-10-2020,Bihar,8306444,
11-10-2020,Bihar,8403189,
12-10-2020,Bihar,8478692,
13-10-2020,Bihar,8572837,
14-10-2020,Bihar,8669522,
15-10-2020,Bihar,8777607,
16-10-2020,Bihar,8894758,
17-10-2020,Bihar,9015471,
18-10-2020,Bihar,9134927,
19-10-2020,Bihar,9248652,
20-10-2020,Bihar,9389946,
21-10-2020,Bihar,9531168,
22-10-2020,Bihar,9676330,
23-10-2020,Bihar,9818199,
24-10-2020,Bihar,9960104,
25-10-2020,Bihar,10099322,
26-10-2020,Bihar,10223823,
27-10-2020,Bihar,10358361,
28-10-2020,Bihar,10498813,
29-10-2020,Bihar,10630170,
30-10-2020,Bihar,10776083,
31-10-2020,Bihar,10923023,
01-11-2020,Bihar,11066634,
02-11-2020,Bihar,11192201,
03-11-2020,Bihar,11335843,
04-11-2020,Bihar,11462665,
05-11-2020,Bihar,11601204,
06-11-2020,Bihar,11738124,
07-11-2020,Bihar,11867267,
08-11-2020,Bihar,11989797,
09-11-2020,Bihar,12105731,
10-11-2020,Bihar,12244081,
11-11-2020,Bihar,12374768,
12-11-2020,Bihar,12510088,
13-11-2020,Bihar,12645695,
14-11-2020,Bihar,12772706,
15-11-2020,Bihar,12869405,
16-11-2020,Bihar,12977501,
17-11-2020,Bihar,13103152,
18-11-2020,Bihar,13232081,
19-11-2020,Bihar,13349790,
20-11-2020,Bihar,13458368,
21-11-2020,Bihar,13543542,
22-11-2020,Bihar,13637477,
23-11-2020,Bihar,13743532,
24-11-2020,Bihar,13871236,
25-11-2020,Bihar,14002979,
26-11-2020,Bihar,14138915,
27-11-2020,Bihar,14275274,
28-11-2020,Bihar,14412044,
29-11-2020,Bihar,14547988,
30-11-2020,Bihar,14664431,
01-12-2020,Bihar,14794415,
02-12-2020,Bihar,14921021,
03-12-2020,Bihar,15047551,
04-12-2020,Bihar,15174056,
05-12-2020,Bihar,15302698,
06-12-2020,Bihar,15428602,
07-12-2020,Bihar,15539015,
08-12-2020,Bihar,15664718,
09-12-2020,Bihar,15782581,
10-12-2020,Bihar,15908787,
11-12-2020,Bihar,16033415,
12-12-2020,Bihar,16154121,
13-12-2020,Bihar,16274624,
14-12-2020,Bihar,16383883,
15-12-2020,Bihar,16507066,
16-12-2020,Bihar,16629179,
17-12-2020,Bihar,16751770,
18-12-2020,Bihar,16874214,
19-12-2020,Bihar,16995748,
20-12-2020,Bihar,17114663,
21-12-2020,Bihar,17217553,
22-12-2020,Bihar,17336868,
23-12-2020,Bihar,17453751,
24-12-2020,Bihar,17571979,
25-12-2020,Bihar,17685756,
26-12-2020,Bihar,17787811,
27-12-2020,Bihar,17902025,
28-12-2020,Bihar,17999839,
29-12-2020,Bihar,18114647,
30-12-2020,Bihar,18227119,
31-12-2020,Bihar,18336722,
01-01-2021,Bihar,18442165,
02-01-2021,Bihar,18526245,
03-01-2021,Bihar,18620805,
04-01-2021,Bihar,18702664,
05-01-2021,Bihar,18797683,
06-01-2021,Bihar,18892926,
07-01-2021,Bihar,18991011,
08-01-2021,Bihar,19082418,
09-01-2021,Bihar,19180737,
10-01-2021,Bihar,19281224,
11-01-2021,Bihar,19361524,
12-01-2021,Bihar,19456871,
13-01-2021,Bihar,19552000,
14-01-2021,Bihar,19646625,
15-01-2021,Bihar,19731328,
16-01-2021,Bihar,19818150,
17-01-2021,Bihar,19901779,
18-01-2021,Bihar,19975038,
19-01-2021,Bihar,20063688,
20-01-2021,Bihar,20151380,
21-01-2021,Bihar,20237577,
22-01-2021,Bihar,20324919,
23-01-2021,Bihar,20408181,
24-01-2021,Bihar,20491088,
25-01-2021,Bihar,20560357,
26-01-2021,Bihar,20701517,
27-01-2021,Bihar,20770786,
28-01-2021,Bihar,20782818,
29-01-2021,Bihar,20864841,
30-01-2021,Bihar,20946382,
31-01-2021,Bihar,21021650,
01-02-2021,Bihar,21086973,
02-02-2021,Bihar,21160236,
03-02-2021,Bihar,21235979,
04-02-2021,Bihar,21309467,
05-02-2021,Bihar,21383874,
06-02-2021,Bihar,21458338,
07-02-2021,Bihar,21530827,
08-02-2021,Bihar,21591296,
09-02-2021,Bihar,21664852,
10-02-2021,Bihar,21741730,
11-02-2021,Bihar,21812681,
12-02-2021,Bihar,21877920,
13-02-2021,Bihar,21940459,
14-02-2021,Bihar,21987741,
15-02-2021,Bihar,22018681,
16-02-2021,Bihar,22055937,
17-02-2021,Bihar,22086083,
18-02-2021,Bihar,22121258,
19-02-2021,Bihar,22155721,
20-02-2021,Bihar,22187704,
21-02-2021,Bihar,22219581,
22-02-2021,Bihar,22241341,
23-02-2021,Bihar,22274557,
24-02-2021,Bihar,22306633,
25-02-2021,Bihar,22339594,
26-02-2021,Bihar,22371889,
27-02-2021,Bihar,22403554,
28-02-2021,Bihar,22434044,
01-03-2021,Bihar,22456253,
02-03-2021,Bihar,22491500,
03-03-2021,Bihar,22525216,
04-03-2021,Bihar,22559016,
05-03-2021,Bihar,22594432,
06-03-2021,Bihar,22623383,
07-03-2021,Bihar,22647925,
08-03-2021,Bihar,22662545,
09-03-2021,Bihar,22681679,
10-03-2021,Bihar,22706935,
11-03-2021,Bihar,22730162,
12-03-2021,Bihar,22752418,
13-03-2021,Bihar,22785366,
14-03-2021,Bihar,22825493,
15-03-2021,Bihar,22858540,
16-03-2021,Bihar,22899132,
17-03-2021,Bihar,22943812,
18-03-2021,Bihar,23002888,
19-03-2021,Bihar,23058747,
20-03-2021,Bihar,23114123,
21-03-2021,Bihar,23167654,
22-03-2021,Bihar,23211498,
23-03-2021,Bihar,23266156,
24-03-2021,Bihar,23322388,
25-03-2021,Bihar,23375172,
26-03-2021,Bihar,23426834,
27-03-2021,Bihar,23485865,
28-03-2021,Bihar,23550969,
29-03-2021,Bihar,23621031,
30-03-2021,Bihar,23650955,
31-03-2021,Bihar,23701470,
01-04-2021,Bihar,23761732,
02-04-2021,Bihar,23825578,
03-04-2021,Bihar,23889560,
04-04-2021,Bihar,23956593,
05-04-2021,Bihar,24029011,
06-04-2021,Bihar,24110325,
07-04-2021,Bihar,24195375,
08-04-2021,Bihar,24285079,
09-04-2021,Bihar,24375830,
10-04-2021,Bihar,24470942,
11-04-2021,Bihar,24569965,
12-04-2021,Bihar,24649983,
13-04-2021,Bihar,24743506,
14-04-2021,Bihar,24843640,
15-04-2021,Bihar,24944876,
16-04-2021,Bihar,25045280,
17-04-2021,Bihar,25145835,
18-04-2021,Bihar,25246439,
19-04-2021,Bihar,25329800,
20-04-2021,Bihar,25435956,
21-04-2021,Bihar,25541936,
22-04-2021,Bihar,25642999,
23-04-2021,Bihar,25751146,
24-04-2021,Bihar,25852574,
25-04-2021,Bihar,25953065,
26-04-2021,Bihar,26033526,
27-04-2021,Bihar,26133854,
28-04-2021,Bihar,26237749,
29-04-2021,Bihar,26335721,
30-04-2021,Bihar,26433890,
01-05-2021,Bihar,26529576,
02-05-2021,Bihar,26618969,
03-05-2021,Bihar,26691627,
04-05-2021,Bihar,26786518,
05-05-2021,Bihar,26881766,
06-05-2021,Bihar,26986790,
07-05-2021,Bihar,27093943,
08-05-2021,Bihar,27201953,
09-05-2021,Bihar,27311143,
10-05-2021,Bihar,27411255,
11-05-2021,Bihar,27521326,
12-05-2021,Bihar,27633066,
13-05-2021,Bihar,27730730,
14-05-2021,Bihar,27839046,
15-05-2021,Bihar,27949218,
16-05-2021,Bihar,28069489,
17-05-2021,Bihar,28194831,
18-05-2021,Bihar,28329961,
19-05-2021,Bihar,28470063,
20-05-2021,Bihar,28610133,
21-05-2021,Bihar,28735144,
22-05-2021,Bihar,28875658,
23-05-2021,Bihar,29008248,
24-05-2021,Bihar,29136281,
25-05-2021,Bihar,29280386,
26-05-2021,Bihar,29412302,
27-05-2021,Bihar,29534428,
28-05-2021,Bihar,29626601,
29-05-2021,Bihar,29709069,
30-05-2021,Bihar,29809563,
31-05-2021,Bihar,29910596,
01-06-2021,Bihar,30018943,
02-06-2021,Bihar,30128262,
03-06-2021,Bihar,30236914,
04-06-2021,Bihar,30350360,
05-06-2021,Bihar,30464240,
06-06-2021,Bihar,30573173,
07-06-2021,Bihar,30673286,
08-06-2021,Bihar,30776332,
09-06-2021,Bihar,30876528,
10-06-2021,Bihar,30983011,
11-06-2021,Bihar,31093130,
12-06-2021,Bihar,31213153,
13-06-2021,Bihar,31323190,
14-06-2021,Bihar,31429415,
15-06-2021,Bihar,31544695,
16-06-2021,Bihar,31656514,
17-06-2021,Bihar,31770039,
18-06-2021,Bihar,31880647,
19-06-2021,Bihar,31990597,
20-06-2021,Bihar,32097259,
21-06-2021,Bihar,32183413,
22-06-2021,Bihar,32290057,
23-06-2021,Bihar,32396709,
24-06-2021,Bihar,32503876,
25-06-2021,Bihar,32612574,
26-06-2021,Bihar,32715648,
27-06-2021,Bihar,32815669,
28-06-2021,Bihar,32900668,
29-06-2021,Bihar,33001019,
30-06-2021,Bihar,33206104,
01-07-2021,Bihar,33334290,
02-07-2021,Bihar,33456334,
03-07-2021,Bihar,33567148,
04-07-2021,Bihar,33676783,
05-07-2021,Bihar,33768662,
06-07-2021,Bihar,33875754,
02-04-2020,Chandigarh,124,18
08-04-2020,Chandigarh,184,18
10-04-2020,Chandigarh,223,19
11-04-2020,Chandigarh,264,19
12-04-2020,Chandigarh,279,21
13-04-2020,Chandigarh,296,21
14-04-2020,Chandigarh,309,21
15-04-2020,Chandigarh,317,21
16-04-2020,Chandigarh,337,21
17-04-2020,Chandigarh,358,21
18-04-2020,Chandigarh,381,23
19-04-2020,Chandigarh,430,26
20-04-2020,Chandigarh,453,26
21-04-2020,Chandigarh,497,27
22-04-2020,Chandigarh,529,27
23-04-2020,Chandigarh,599,27
24-04-2020,Chandigarh,638,27
25-04-2020,Chandigarh,734,28
26-04-2020,Chandigarh,756,30
27-04-2020,Chandigarh,843,40
28-04-2020,Chandigarh,924,56
29-04-2020,Chandigarh,1012,67
30-04-2020,Chandigarh,1147,74
01-05-2020,Chandigarh,1252,88
02-05-2020,Chandigarh,1462,94
03-05-2020,Chandigarh,1616,97
04-05-2020,Chandigarh,1678,102
05-05-2020,Chandigarh,1713,115
06-05-2020,Chandigarh,1785,120
07-05-2020,Chandigarh,1845,129
08-05-2020,Chandigarh,1913,146
09-05-2020,Chandigarh,2055,169
10-05-2020,Chandigarh,2142,173
11-05-2020,Chandigarh,2177,173
12-05-2020,Chandigarh,2276,187
13-05-2020,Chandigarh,2420,189
14-05-2020,Chandigarh,2505,191
15-05-2020,Chandigarh,2586,191
16-05-2020,Chandigarh,2718,191
17-05-2020,Chandigarh,2812,191
18-05-2020,Chandigarh,2892,196
19-05-2020,Chandigarh,3031,199
21-05-2020,Chandigarh,3369,216
22-05-2020,Chandigarh,3531,219
23-05-2020,Chandigarh,3749,225
24-05-2020,Chandigarh,3904,238
25-05-2020,Chandigarh,4089,266
26-05-2020,Chandigarh,4207,278
27-05-2020,Chandigarh,4332,279
28-05-2020,Chandigarh,4467,289
29-05-2020,Chandigarh,4543,289
30-05-2020,Chandigarh,4654,289
31-05-2020,Chandigarh,4785,293
01-06-2020,Chandigarh,4816,294
02-06-2020,Chandigarh,4902,301
03-06-2020,Chandigarh,4977,301
04-06-2020,Chandigarh,5059,302
05-06-2020,Chandigarh,5121,309
06-06-2020,Chandigarh,5237,309
07-06-2020,Chandigarh,5312,314
08-06-2020,Chandigarh,5385,318
10-06-2020,Chandigarh,5532,328
11-06-2020,Chandigarh,5636,332
12-06-2020,Chandigarh,5708,334
13-06-2020,Chandigarh,5839,345
14-06-2020,Chandigarh,5937,350
15-06-2020,Chandigarh,6027,357
16-06-2020,Chandigarh,6115,358
17-06-2020,Chandigarh,6233,368
18-06-2020,Chandigarh,6315,373
19-06-2020,Chandigarh,6438,375
20-06-2020,Chandigarh,6578,390
21-06-2020,Chandigarh,6677,404
22-06-2020,Chandigarh,6745,410
23-06-2020,Chandigarh,6840,415
24-06-2020,Chandigarh,6981,420
25-06-2020,Chandigarh,7072,423
26-06-2020,Chandigarh,7201,424
27-06-2020,Chandigarh,7342,427
28-06-2020,Chandigarh,7455,429
29-06-2020,Chandigarh,7548,434
30-06-2020,Chandigarh,7689,440
01-07-2020,Chandigarh,7792,446
02-07-2020,Chandigarh,7938,450
03-07-2020,Chandigarh,8074,454
04-07-2020,Chandigarh,8209,459
05-07-2020,Chandigarh,8419,466
06-07-2020,Chandigarh,8528,487
07-07-2020,Chandigarh,8669,492
08-07-2020,Chandigarh,8833,507
09-07-2020,Chandigarh,9096,523
10-07-2020,Chandigarh,9253,536
11-07-2020,Chandigarh,9405,549
12-07-2020,Chandigarh,9571,559
13-07-2020,Chandigarh,9722,588
14-07-2020,Chandigarh,9834,600
15-07-2020,Chandigarh,10050,619
16-07-2020,Chandigarh,10244,635
17-07-2020,Chandigarh,10457,660
18-07-2020,Chandigarh,10773,691
19-07-2020,Chandigarh,10959,717
20-07-2020,Chandigarh,11075,739
21-07-2020,Chandigarh,11271,751
22-07-2020,Chandigarh,11547,780
23-07-2020,Chandigarh,11780,800
24-07-2020,Chandigarh,12030,823
25-07-2020,Chandigarh,12358,852
26-07-2020,Chandigarh,12608,887
27-07-2020,Chandigarh,12786,910
28-07-2020,Chandigarh,13069,934
29-07-2020,Chandigarh,13327,978
30-07-2020,Chandigarh,13683,1016
31-07-2020,Chandigarh,13959,1051
01-08-2020,Chandigarh,14239,1079
02-08-2020,Chandigarh,14493,1117
03-08-2020,Chandigarh,14778,1159
04-08-2020,Chandigarh,15116,1206
05-08-2020,Chandigarh,15611,1270
06-08-2020,Chandigarh,16034,1327
07-08-2020,Chandigarh,16596,1374
08-08-2020,Chandigarh,17067,1426
09-08-2020,Chandigarh,17510,1515
10-08-2020,Chandigarh,17928,1595
11-08-2020,Chandigarh,18625,
12-08-2020,Chandigarh,19141,
13-08-2020,Chandigarh,19593,1842
14-08-2020,Chandigarh,20060,1928
15-08-2020,Chandigarh,20520,2009
16-08-2020,Chandigarh,21060,
17-08-2020,Chandigarh,21563,
18-08-2020,Chandigarh,22198,2305
19-08-2020,Chandigarh,22730,
20-08-2020,Chandigarh,23374,
21-08-2020,Chandigarh,24064,
22-08-2020,Chandigarh,24693,
23-08-2020,Chandigarh,25203,
24-08-2020,Chandigarh,25645,
25-08-2020,Chandigarh,26348,
26-08-2020,Chandigarh,27076,
27-08-2020,Chandigarh,27567,
28-08-2020,Chandigarh,28337,
29-08-2020,Chandigarh,29118,
30-08-2020,Chandigarh,29864,
31-08-2020,Chandigarh,30377,
01-09-2020,Chandigarh,31268,
02-09-2020,Chandigarh,32134,
03-09-2020,Chandigarh,33007,
04-09-2020,Chandigarh,33572,
05-09-2020,Chandigarh,34369,
06-09-2020,Chandigarh,35288,
07-09-2020,Chandigarh,36079,
08-09-2020,Chandigarh,37070,
09-09-2020,Chandigarh,41440,
10-09-2020,Chandigarh,43701,
11-09-2020,Chandigarh,45336,
12-09-2020,Chandigarh,47306,
13-09-2020,Chandigarh,49451,
14-09-2020,Chandigarh,51718,
15-09-2020,Chandigarh,54371,
16-09-2020,Chandigarh,56490,
17-09-2020,Chandigarh,57679,
18-09-2020,Chandigarh,58937,
19-09-2020,Chandigarh,60311,
20-09-2020,Chandigarh,62834,
21-09-2020,Chandigarh,64625,
22-09-2020,Chandigarh,67020,
23-09-2020,Chandigarh,68270,
24-09-2020,Chandigarh,69528,
25-09-2020,Chandigarh,71009,
26-09-2020,Chandigarh,72652,
27-09-2020,Chandigarh,74415,
28-09-2020,Chandigarh,75896,
29-09-2020,Chandigarh,76721,
30-09-2020,Chandigarh,77489,
01-10-2020,Chandigarh,78390,
02-10-2020,Chandigarh,79351,
03-10-2020,Chandigarh,80300,
04-10-2020,Chandigarh,81066,
05-10-2020,Chandigarh,81671,
06-10-2020,Chandigarh,82586,
07-10-2020,Chandigarh,83413,
08-10-2020,Chandigarh,84167,
09-10-2020,Chandigarh,85187,
10-10-2020,Chandigarh,86201,
11-10-2020,Chandigarh,87485,
12-10-2020,Chandigarh,88819,
13-10-2020,Chandigarh,89969,
14-10-2020,Chandigarh,91177,
15-10-2020,Chandigarh,92198,
16-10-2020,Chandigarh,93420,
17-10-2020,Chandigarh,94462,
18-10-2020,Chandigarh,95022,
19-10-2020,Chandigarh,95776,
20-10-2020,Chandigarh,96707,
21-10-2020,Chandigarh,97841,
22-10-2020,Chandigarh,98981,
23-10-2020,Chandigarh,100045,
24-10-2020,Chandigarh,100797,
25-10-2020,Chandigarh,101219,
26-10-2020,Chandigarh,101778,
27-10-2020,Chandigarh,102933,
28-10-2020,Chandigarh,104136,
29-10-2020,Chandigarh,105409,
30-10-2020,Chandigarh,106090,
31-10-2020,Chandigarh,107015,
01-11-2020,Chandigarh,107851,
02-11-2020,Chandigarh,108911,
03-11-2020,Chandigarh,110083,
04-11-2020,Chandigarh,110989,
05-11-2020,Chandigarh,112391,
06-11-2020,Chandigarh,113593,
07-11-2020,Chandigarh,114773,
08-11-2020,Chandigarh,115589,
09-11-2020,Chandigarh,116839,
10-11-2020,Chandigarh,118279,
11-11-2020,Chandigarh,119635,
12-11-2020,Chandigarh,120681,
13-11-2020,Chandigarh,121484,
15-11-2020,Chandigarh,122189,
16-11-2020,Chandigarh,123326,
17-11-2020,Chandigarh,124741,
18-11-2020,Chandigarh,126852,
19-11-2020,Chandigarh,128558,
20-11-2020,Chandigarh,130070,
21-11-2020,Chandigarh,131280,
22-11-2020,Chandigarh,132090,
23-11-2020,Chandigarh,133478,
24-11-2020,Chandigarh,134281,
25-11-2020,Chandigarh,135876,
26-11-2020,Chandigarh,137442,
27-11-2020,Chandigarh,140730,
29-11-2020,Chandigarh,141616,
30-11-2020,Chandigarh,142326,
01-12-2020,Chandigarh,144204,
02-12-2020,Chandigarh,145958,
03-12-2020,Chandigarh,147467,
04-12-2020,Chandigarh,149019,
05-12-2020,Chandigarh,150409,
06-12-2020,Chandigarh,151473,
07-12-2020,Chandigarh,152801,
08-12-2020,Chandigarh,154396,
09-12-2020,Chandigarh,155643,
10-12-2020,Chandigarh,157056,
11-12-2020,Chandigarh,158516,
12-12-2020,Chandigarh,159784,
13-12-2020,Chandigarh,160600,
14-12-2020,Chandigarh,161810,
15-12-2020,Chandigarh,162991,
16-12-2020,Chandigarh,164254,
17-12-2020,Chandigarh,165414,
18-12-2020,Chandigarh,166499,
19-12-2020,Chandigarh,167704,
20-12-2020,Chandigarh,168234,
21-12-2020,Chandigarh,169489,
22-12-2020,Chandigarh,170841,
23-12-2020,Chandigarh,172379,
24-12-2020,Chandigarh,173459,
25-12-2020,Chandigarh,174395,
26-12-2020,Chandigarh,175611,
27-12-2020,Chandigarh,176337,
28-12-2020,Chandigarh,177441,
29-12-2020,Chandigarh,178691,
30-12-2020,Chandigarh,180014,
31-12-2020,Chandigarh,181186,
01-01-2021,Chandigarh,182063,
02-01-2021,Chandigarh,183091,
03-01-2021,Chandigarh,183594,
04-01-2021,Chandigarh,184844,
05-01-2021,Chandigarh,186419,
06-01-2021,Chandigarh,187897,
07-01-2021,Chandigarh,189318,
08-01-2021,Chandigarh,190556,
09-01-2021,Chandigarh,191673,
10-01-2021,Chandigarh,192376,
12-01-2021,Chandigarh,194901,
13-01-2021,Chandigarh,196211,
14-01-2021,Chandigarh,197283,
15-01-2021,Chandigarh,198409,
16-01-2021,Chandigarh,199538,
17-01-2021,Chandigarh,200245,
18-01-2021,Chandigarh,201373,
19-01-2021,Chandigarh,202434,
20-01-2021,Chandigarh,203275,
21-01-2021,Chandigarh,204305,
22-01-2021,Chandigarh,205814,
23-01-2021,Chandigarh,207047,
24-01-2021,Chandigarh,208107,
26-01-2021,Chandigarh,210111,
27-01-2021,Chandigarh,211460,
28-01-2021,Chandigarh,212915,
29-01-2021,Chandigarh,214102,
30-01-2021,Chandigarh,215242,
31-01-2021,Chandigarh,216246,
01-02-2021,Chandigarh,217610,
02-02-2021,Chandigarh,218941,
03-02-2021,Chandigarh,220301,
07-02-2021,Chandigarh,225242,
08-02-2021,Chandigarh,226503,
